iter	Passed	Remaining
0	5	504
1	10	517
2	20	660
3	27	669
4	30	572
5	32	506
6	34	459
7	36	423
8	39	394
9	41	371
10	43	351
11	45	335
12	47	320
13	50	307
14	52	296
15	54	285
16	62	305
17	64	295
18	67	286
19	69	276
20	71	269
21	73	261
22	75	253
23	77	246
24	79	239
25	82	233
26	84	227
27	86	222
28	88	217
29	90	211
30	92	206
31	94	201
32	96	196
33	98	191
34	100	187
35	102	182
36	104	178
37	106	174
38	108	170
39	110	165
40	112	161
41	113	156
42	115	153
43	117	149
44	119	145
45	121	142
46	123	138
47	125	135
48	127	132
49	129	129
50	131	125
51	132	122
52	134	119
53	136	116
54	137	112
55	139	109
56	141	107
57	145	105
58	147	102
59	149	99
60	151	96
61	153	94
62	156	91
63	158	89
64	160	86
65	162	83
66	164	80
67	166	78
68	168	75
69	169	72
70	171	70
71	173	67
72	175	64
73	177	62
74	179	59
75	181	57
76	183	54
77	185	52
78	187	49
79	189	47
80	191	44
81	193	42
82	195	39
83	197	37
84	199	35
85	201	32
86	203	30
87	204	27
88	206	25
89	208	23
90	210	20
91	212	18
92	214	16
93	216	13
94	218	11
95	220	9
96	222	6
97	224	4
98	226	2
99	228	0
