iter	Passed	Remaining
0	213	212875
1	215	107547
2	217	72375
3	223	55748
4	226	44999
5	228	37894
6	230	32741
7	232	28879
8	235	25887
9	237	23475
10	239	21532
11	241	19907
12	244	18528
13	249	17599
14	251	16542
15	254	15621
16	256	14804
17	258	14078
18	264	13640
19	266	13044
20	268	12511
21	270	12026
22	272	11580
23	278	11324
24	280	10944
25	282	10587
26	284	10256
27	286	9949
28	288	9664
29	294	9513
30	296	9268
31	301	9112
32	303	8891
33	309	8796
34	311	8593
35	314	8409
36	316	8226
37	318	8053
38	323	7983
39	326	7824
40	328	7680
41	330	7535
42	332	7398
43	338	7352
44	340	7224
45	342	7108
46	346	7015
47	348	6903
48	353	6869
49	356	6764
50	358	6665
51	360	6567
52	362	6472
53	367	6444
54	369	6357
55	372	6272
56	374	6191
57	376	6111
58	378	6034
59	383	6015
60	386	5945
61	390	5907
62	392	5838
63	398	5833
64	400	5766
65	403	5703
66	405	5640
67	407	5579
68	413	5574
69	415	5516
70	417	5462
71	419	5407
72	421	5352
73	427	5348
74	429	5297
75	431	5246
76	433	5196
77	435	5151
78	437	5103
79	443	5103
80	445	5057
81	447	5012
82	448	4958
83	450	4916
84	452	4874
85	458	4878
86	461	4837
87	463	4798
88	465	4761
89	467	4724
90	473	4731
91	475	4695
92	477	4659
93	479	4624
94	481	4589
95	487	4589
96	489	4558
97	491	4527
98	495	4512
99	497	4480
100	500	4450
101	502	4420
102	504	4390
103	506	4360
104	508	4331
105	514	4338
106	516	4310
107	518	4282
108	520	4254
109	522	4227
110	528	4234
111	530	4208
112	532	4182
113	535	4158
114	537	4133
115	542	4136
116	544	4108
117	546	4084
118	548	4060
119	550	4036
120	552	4013
121	557	4013
122	559	3991
123	561	3968
124	564	3949
125	566	3928
126	567	3903
127	570	3887
128	572	3868
129	577	3864
130	579	3844
131	586	3853
132	588	3833
133	590	3813
134	592	3794
135	594	3774
136	601	3790
137	603	3771
138	605	3752
139	607	3733
140	609	3715
141	615	3716
142	617	3698
143	619	3680
144	621	3664
145	623	3647
146	629	3653
147	631	3636
148	633	3619
149	635	3603
150	637	3586
151	639	3570
152	642	3554
153	644	3538
154	646	3523
155	648	3507
156	650	3492
157	657	3501
158	659	3486
159	661	3471
160	662	3451
161	664	3437
162	669	3440
163	672	3426
164	674	3413
165	678	3407
166	680	3392
167	686	3398
168	688	3384
169	690	3370
170	692	3356
171	694	3342
172	700	3348
173	702	3335
174	704	3321
175	706	3308
176	708	3294
177	710	3281
178	716	3286
179	718	3273
180	720	3261
181	722	3248
182	724	3236
183	730	3240
184	732	3227
185	734	3215
186	736	3202
187	738	3190
188	744	3194
189	746	3182
190	748	3170
191	750	3159
192	752	3147
193	754	3135
194	760	3139
195	762	3129
196	767	3126
197	769	3115
198	775	3119
199	777	3108
200	779	3097
201	781	3085
202	783	3074
203	785	3063
204	791	3069
205	793	3058
206	795	3048
207	797	3037
208	799	3026
209	805	3031
210	807	3020
211	809	3010
212	811	3000
213	813	2989
214	819	2993
215	821	2983
216	823	2972
217	825	2962
218	827	2952
219	833	2956
220	835	2946
221	837	2936
222	839	2926
223	841	2916
224	848	2921
225	850	2911
226	852	2901
227	854	2892
228	856	2882
229	858	2872
230	860	2864
231	862	2856
232	865	2848
233	868	2843
234	875	2849
235	877	2840
236	879	2831
237	881	2821
238	883	2812
239	889	2815
240	891	2808
241	893	2799
242	895	2790
243	897	2781
244	899	2772
245	905	2775
246	907	2767
247	909	2758
248	911	2749
249	913	2741
250	919	2744
251	921	2736
252	923	2727
253	925	2719
254	927	2710
255	929	2702
256	931	2694
257	934	2686
258	936	2679
259	938	2671
260	943	2672
261	946	2665
262	948	2657
263	952	2655
264	954	2647
265	961	2651
266	963	2644
267	965	2635
268	967	2627
269	969	2620
270	975	2623
271	977	2615
272	979	2608
273	981	2600
274	983	2592
275	989	2594
276	991	2586
277	993	2579
278	995	2571
279	997	2564
280	999	2556
281	1005	2559
282	1007	2552
283	1009	2544
284	1011	2536
285	1013	2529
286	1019	2532
287	1021	2525
288	1023	2517
289	1025	2510
290	1027	2503
291	1029	2496
292	1031	2489
293	1033	2482
294	1035	2475
295	1037	2468
296	1039	2461
297	1045	2462
298	1047	2456
299	1051	2453
300	1053	2446
301	1059	2449
302	1061	2442
303	1063	2435
304	1065	2429
305	1068	2422
306	1073	2423
307	1075	2416
308	1077	2410
309	1079	2403
310	1081	2396
311	1083	2389
312	1089	2392
313	1091	2385
314	1093	2378
315	1096	2372
316	1098	2365
317	1103	2367
318	1105	2361
319	1108	2354
320	1110	2348
321	1112	2341
322	1114	2335
323	1120	2338
324	1122	2332
325	1125	2326
326	1127	2319
327	1129	2313
328	1134	2314
329	1136	2308
330	1139	2302
331	1141	2296
332	1150	2304
333	1152	2298
334	1154	2292
335	1156	2286
336	1158	2280
337	1165	2282
338	1167	2275
339	1169	2269
340	1171	2263
341	1173	2257
342	1179	2258
343	1181	2252
344	1183	2246
345	1185	2240
346	1187	2234
347	1189	2228
348	1191	2222
349	1193	2216
350	1195	2210
351	1197	2204
352	1199	2198
353	1205	2199
354	1207	2193
355	1209	2188
356	1211	2182
357	1213	2176
358	1219	2177
359	1221	2171
360	1223	2165
361	1225	2160
362	1227	2154
363	1229	2149
364	1232	2144
365	1234	2138
366	1238	2136
367	1241	2131
368	1247	2133
369	1249	2127
370	1251	2121
371	1253	2116
372	1255	2111
373	1261	2111
374	1263	2106
375	1265	2100
376	1267	2095
377	1269	2089
378	1275	2090
379	1277	2085
380	1279	2079
381	1282	2074
382	1284	2068
383	1286	2063
384	1292	2064
385	1294	2058
386	1296	2053
387	1298	2047
388	1300	2042
389	1305	2042
390	1307	2036
391	1309	2031
392	1312	2026
393	1314	2021
394	1316	2016
395	1319	2012
396	1321	2006
397	1324	2002
398	1326	1997
399	1331	1997
400	1334	1993
401	1336	1987
402	1338	1982
403	1340	1977
404	1346	1977
405	1348	1972
406	1350	1967
407	1352	1962
408	1354	1957
409	1356	1951
410	1362	1952
411	1364	1947
412	1366	1942
413	1368	1937
414	1370	1932
415	1376	1932
416	1378	1927
417	1380	1922
418	1382	1917
419	1384	1912
420	1386	1907
421	1389	1902
422	1391	1897
423	1396	1897
424	1404	1900
425	1407	1896
